gear-multimelta | Multi-Melta | type=upgrade
r63-sw-deathsworn-transport-lr-hs-land-raider | Legion Land Raider | type=unit
r63-sw-deathsworn-transport-lr-hs-lr-phobos | Land Raider Phobos | type=model
r63-sw-deathsworn-transport-lr-hs-lr-proteus | Land Raider Proteus | type=model
r63-sw-deathsworn-transport-lr-hs-lr-achilles | Land Raider Achilles | type=model
r63-sw-varagyr-transport-lr-hs-land-raider | Legion Land Raider | type=unit
r63-sw-varagyr-transport-lr-hs-lr-phobos | Land Raider Phobos | type=model
r63-sw-varagyr-transport-lr-hs-lr-proteus | Land Raider Proteus | type=model
r63-sw-varagyr-transport-lr-hs-lr-achilles | Land Raider Achilles | type=model
r63-sw-varagyr-transport-sp-hs-spartan | Legion Spartan Assault Tank | type=unit
r63-sw-hvarl-term-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r63-sw-hvarl-term-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r63-sw-hvarl-term-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r63-sw-hvarl-varagyr-r63-sw-varagyr-transport-lr-hs-land-raider | Legion Land Raider | type=unit
r63-sw-hvarl-varagyr-r63-sw-varagyr-transport-lr-hs-lr-phobos | Land Raider Phobos | type=model
r63-sw-hvarl-varagyr-r63-sw-varagyr-transport-lr-hs-lr-proteus | Land Raider Proteus | type=model
r63-sw-hvarl-varagyr-r63-sw-varagyr-transport-lr-hs-lr-achilles | Land Raider Achilles | type=model
r63-sw-hvarl-varagyr-r63-sw-varagyr-transport-sp-hs-spartan | Legion Spartan Assault Tank | type=unit
r63-sw-ohthere-command-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r63-sw-ohthere-command-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r63-sw-ohthere-command-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r63-sw-russ-honour-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r63-sw-russ-honour-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r63-sw-russ-honour-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r63-sw-russ-term-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r63-sw-russ-term-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r63-sw-russ-term-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r64-if-templar-transport-lr-hs-land-raider | Legion Land Raider | type=unit
r64-if-templar-transport-lr-hs-lr-phobos | Land Raider Phobos | type=model
r64-if-templar-transport-lr-hs-lr-proteus | Land Raider Proteus | type=model
r64-if-templar-transport-lr-hs-lr-achilles | Land Raider Achilles | type=model
r70-if-ta-0-0-hs-lr-phobos | Land Raider Phobos | type=model
r70-if-ta-0-1-hs-lr-proteus | Land Raider Proteus | type=model
r64-if-warder-transport-lr-hs-land-raider | Legion Land Raider | type=unit
r64-if-warder-transport-lr-hs-lr-phobos | Land Raider Phobos | type=model
r64-if-warder-transport-lr-hs-lr-proteus | Land Raider Proteus | type=model
r64-if-warder-transport-lr-hs-lr-achilles | Land Raider Achilles | type=model
r64-if-tarantula-las | Twin-linked Lascannon | type=upgrade
r64-if-sig-templar-r64-if-templar-transport-lr-hs-land-raider | Legion Land Raider | type=unit
r64-if-sig-templar-r64-if-templar-transport-lr-hs-lr-phobos | Land Raider Phobos | type=model
r64-if-sig-templar-r64-if-templar-transport-lr-hs-lr-proteus | Land Raider Proteus | type=model
r64-if-sig-templar-r64-if-templar-transport-lr-hs-lr-achilles | Land Raider Achilles | type=model
r70-if-ta-1-0-hs-lr-phobos | Land Raider Phobos | type=model
r70-if-ta-1-1-hs-lr-proteus | Land Raider Proteus | type=model
r64-if-diaz-warder-r64-if-warder-transport-lr-hs-land-raider | Legion Land Raider | type=unit
r64-if-diaz-warder-r64-if-warder-transport-lr-hs-lr-phobos | Land Raider Phobos | type=model
r64-if-diaz-warder-r64-if-warder-transport-lr-hs-lr-proteus | Land Raider Proteus | type=model
r64-if-diaz-warder-r64-if-warder-transport-lr-hs-lr-achilles | Land Raider Achilles | type=model
r64-if-diaz-command-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r64-if-diaz-command-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r64-if-diaz-command-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r64-if-garrius-term-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r64-if-garrius-term-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r64-if-garrius-term-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r64-if-dorn-honour-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r64-if-dorn-honour-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r64-if-dorn-honour-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r64-if-dorn-term-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r64-if-dorn-term-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r64-if-dorn-term-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r64-if-dorn-templar-r64-if-templar-transport-lr-hs-land-raider | Legion Land Raider | type=unit
r64-if-dorn-templar-r64-if-templar-transport-lr-hs-lr-phobos | Land Raider Phobos | type=model
r64-if-dorn-templar-r64-if-templar-transport-lr-hs-lr-proteus | Land Raider Proteus | type=model
r64-if-dorn-templar-r64-if-templar-transport-lr-hs-lr-achilles | Land Raider Achilles | type=model
r70-if-ta-2-0-hs-lr-phobos | Land Raider Phobos | type=model
r70-if-ta-2-1-hs-lr-proteus | Land Raider Proteus | type=model
r71-nl-terror-transport-hs-lr-phobos-hs-lr-phobos | Land Raider Phobos | type=model
r71-nl-terror-transport-hs-lr-proteus-hs-lr-proteus | Land Raider Proteus | type=model
r71-nl-terror-transport-hs-lr-achilles-hs-lr-achilles | Land Raider Achilles | type=model
r71-nl-raptor-handflamer | Hand Flamer | type=upgrade
r71-nl-contekar-transport-hs-lr-phobos-hs-lr-phobos | Land Raider Phobos | type=model
r71-nl-contekar-transport-hs-lr-proteus-hs-lr-proteus | Land Raider Proteus | type=model
r71-nl-contekar-transport-spartan-hs-spartan | Legion Spartan Assault Tank | type=unit
r71-nl-atramentar-h-plasma | Plasma Blaster | type=upgrade
r71-nl-atramentar-transport-hs-lr-phobos-hs-lr-phobos | Land Raider Phobos | type=model
r71-nl-atramentar-transport-hs-lr-proteus-hs-lr-proteus | Land Raider Proteus | type=model
r71-nl-atramentar-transport-spartan-hs-spartan | Legion Spartan Assault Tank | type=unit
r71-nl-sev-ret-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r71-nl-sev-ret-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r71-nl-sev-ret-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r71-nl-sev-ret-1-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r71-nl-sev-ret-1-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r71-nl-sev-ret-1-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r71-nl-sev-ret-2-r71-nl-atramentar-h-plasma | Plasma Blaster | type=upgrade
r71-nl-sev-ret-2-r71-nl-atramentar-transport-hs-lr-phobos-hs-lr-phobos | Land Raider Phobos | type=model
r71-nl-sev-ret-2-r71-nl-atramentar-transport-hs-lr-proteus-hs-lr-proteus | Land Raider Proteus | type=model
r71-nl-sev-ret-2-r71-nl-atramentar-transport-spartan-hs-spartan | Legion Spartan Assault Tank | type=unit
r71-nl-oph-ret-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r71-nl-oph-ret-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r71-nl-oph-ret-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r71-nl-oph-ret-1-r71-nl-contekar-transport-hs-lr-phobos-hs-lr-phobos | Land Raider Phobos | type=model
r71-nl-oph-ret-1-r71-nl-contekar-transport-hs-lr-proteus-hs-lr-proteus | Land Raider Proteus | type=model
r71-nl-oph-ret-1-r71-nl-contekar-transport-spartan-hs-spartan | Legion Spartan Assault Tank | type=unit
r71-nl-mal-ret-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r71-nl-mal-ret-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r71-nl-mal-ret-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r71-nl-mal-ret-1-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r71-nl-mal-ret-1-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r71-nl-mal-ret-1-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r71-nl-mal-ret-1-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r71-nl-mal-ret-1-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r71-nl-mal-ret-1-r40-da-steel-transport-veteran-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r71-nl-shang-ret-0-r71-nl-terror-transport-hs-lr-phobos-hs-lr-phobos | Land Raider Phobos | type=model
r71-nl-shang-ret-0-r71-nl-terror-transport-hs-lr-proteus-hs-lr-proteus | Land Raider Proteus | type=model
r71-nl-shang-ret-0-r71-nl-terror-transport-hs-lr-achilles-hs-lr-achilles | Land Raider Achilles | type=model
r71-nl-curze-ret-0-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r71-nl-curze-ret-0-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r71-nl-curze-ret-0-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r71-nl-curze-ret-1-r71-nl-atramentar-h-plasma | Plasma Blaster | type=upgrade
r71-nl-curze-ret-1-r71-nl-atramentar-transport-hs-lr-phobos-hs-lr-phobos | Land Raider Phobos | type=model
r71-nl-curze-ret-1-r71-nl-atramentar-transport-hs-lr-proteus-hs-lr-proteus | Land Raider Proteus | type=model
r71-nl-curze-ret-1-r71-nl-atramentar-transport-spartan-hs-spartan | Legion Spartan Assault Tank | type=unit
r71-nl-curze-ret-2-r71-nl-raptor-handflamer | Hand Flamer | type=upgrade
r71-nl-curze-ret-3-r71-nl-terror-transport-hs-lr-phobos-hs-lr-phobos | Land Raider Phobos | type=model
r71-nl-curze-ret-3-r71-nl-terror-transport-hs-lr-proteus-hs-lr-proteus | Land Raider Proteus | type=model
r71-nl-curze-ret-3-r71-nl-terror-transport-hs-lr-achilles-hs-lr-achilles | Land Raider Achilles | type=model
r41-unit-ix-1-crimson-paladin-squad-opt-4-plasma-blaster | Plasma Blaster | type=upgrade
r74-ba-pal-lr-hs-land-raider | Legion Land Raider | type=unit
r74-ba-pal-lr-hs-lr-phobos | Land Raider Phobos | type=model
r74-ba-pal-lr-hs-lr-proteus | Land Raider Proteus | type=model
r74-ba-pal-lr-hs-lr-achilles | Land Raider Achilles | type=model
r74-ba-pal-sp-hs-spartan | Legion Spartan Assault Tank | type=unit
r41-unit-ix-4-grav-chariot-squadron-opt-0-multi-melta | Multi-Melta | type=upgrade
r74-ba-ral-cmd-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r74-ba-ral-cmd-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r74-ba-ral-cmd-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r74-ba-ral-tcmd-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r74-ba-ral-tcmd-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r74-ba-ral-tcmd-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r74-ba-crohne-cmd-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r74-ba-crohne-cmd-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r74-ba-crohne-cmd-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r74-ba-crohne-flamer | Hand Flamer | type=upgrade
r74-ba-amit-cmd-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r74-ba-amit-cmd-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r74-ba-amit-cmd-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r74-ba-sang-honour-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r74-ba-sang-honour-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r74-ba-sang-honour-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-imm-land-raider-phobos-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=upgrade
r83-ih-imm-land-raider-proteus-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=upgrade
r41-unit-x-1-gorgon-terminator-squad-opt-10-plasma-blaster | Plasma Blaster | type=upgrade
r41-unit-x-2-morlock-terminator-squad-opt-10-plasma-blaster | Plasma Blaster | type=upgrade
r41-unit-x-3-venerable-forge-lord-opt-1-multi-melta | Multi-Melta | type=upgrade
r41-unit-x-3-venerable-forge-lord-opt-2-twin-linked-autocannon | Twin-linked Autocannon | type=upgrade
r41-unit-x-3-venerable-forge-lord-opt-7-twin-linked-lascannon | Twin-linked Lascannon | type=upgrade
r79-ih-meduson-command-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r79-ih-meduson-command-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r79-ih-meduson-command-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r79-ih-autek-termcommand-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r79-ih-autek-termcommand-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r79-ih-autek-termcommand-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r79-ih-santar-morlocks-r41-unit-x-2-morlock-terminator-squad-opt-10-plasma-blaster | Plasma Blaster | type=upgrade
r79-ih-ferrus-honour-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r79-ih-ferrus-honour-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r79-ih-ferrus-honour-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r79-ih-ferrus-termcommand-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r79-ih-ferrus-termcommand-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r79-ih-ferrus-termcommand-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r79-ih-ferrus-morlocks-r41-unit-x-2-morlock-terminator-squad-opt-10-plasma-blaster | Plasma Blaster | type=upgrade
r41-unit-xii-2-red-hand-destroyer-mortalis-squad-opt-1-hand-flamer | Hand flamer | type=upgrade
live-r3-we-r41-unit-xii-6-kharn-the-bloody-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r3-we-r41-unit-xii-6-kharn-the-bloody-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r3-we-r41-unit-xii-6-kharn-the-bloody-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r3-we-r41-unit-xii-7-shabran-darr-retinue-0-r41-unit-xii-2-red-hand-destroyer-mortalis-squad-opt-1-hand-flamer | Hand flamer | type=upgrade
r89-we-surlak-wargear-2-narthecium | Narthecium | type=upgrade
r89-we-surlak-wargear-3-reductor | Reductor | type=upgrade
r89-we-kargos-wargear-1-narthecium | Narthecium | type=upgrade
r89-we-kargos-wargear-2-reductor | Reductor | type=upgrade
live-r3-we-r41-unit-xii-9-kargos-the-bloodspitter-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r3-we-r41-unit-xii-9-kargos-the-bloodspitter-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r3-we-r41-unit-xii-9-kargos-the-bloodspitter-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r3-we-r41-unit-xii-10-captain-ehrlen-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r3-we-r41-unit-xii-10-captain-ehrlen-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r3-we-r41-unit-xii-10-captain-ehrlen-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r3-we-r41-unit-xii-12-xii-angron-the-red-angel-retinue-0-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
live-r3-we-r41-unit-xii-12-xii-angron-the-red-angel-retinue-0-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
live-r3-we-r41-unit-xii-12-xii-angron-the-red-angel-retinue-0-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
live-r3-we-r41-unit-xii-12-xii-angron-the-red-angel-retinue-1-hq-centurion-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r3-we-r41-unit-xii-12-xii-angron-the-red-angel-retinue-1-hq-centurion-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r3-we-r41-unit-xii-12-xii-angron-the-red-angel-retinue-1-hq-centurion-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r41-unit-xiii-2-locutarus-storm-squad-opt-0-hand-flamer | Hand Flamer | type=upgrade
r8-um-nem-dt-r37-spear-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r8-um-nem-dt-r37-spear-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r8-um-nem-dt-r37-spear-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r8-um-nem-dt-r83-ih-scions-6-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r8-um-nem-dt-r83-ih-scions-7-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-1-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-1-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xiii-4-marius-gage-first-master-retinue-1-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xiii-5-remus-ventanus-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xiii-5-remus-ventanus-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xiii-5-remus-ventanus-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xiii-5-remus-ventanus-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiii-5-remus-ventanus-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiii-8-titus-prayto-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xiii-8-titus-prayto-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xiii-8-titus-prayto-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xiii-8-titus-prayto-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiii-8-titus-prayto-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r6-guilliman-ret-0-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r6-guilliman-ret-0-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r6-guilliman-ret-0-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r6-guilliman-ret-0-r83-ih-scions-12-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r6-guilliman-ret-0-r83-ih-scions-13-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r6-guilliman-ret-1-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r6-guilliman-ret-1-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r6-guilliman-ret-1-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xiv-3-calas-typhon-first-captain-retinue-1-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xiv-3-calas-typhon-first-captain-retinue-1-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xiv-3-calas-typhon-first-captain-retinue-1-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xiv-5-durak-rask-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xiv-5-durak-rask-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xiv-5-durak-rask-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xiv-5-durak-rask-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiv-5-durak-rask-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiv-6-ignatius-grulgor-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xiv-6-ignatius-grulgor-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xiv-6-ignatius-grulgor-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xiv-6-ignatius-grulgor-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiv-6-ignatius-grulgor-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiv-7-nathaniel-garro-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xiv-7-nathaniel-garro-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xiv-7-nathaniel-garro-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xiv-7-nathaniel-garro-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xiv-7-nathaniel-garro-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r41-unit-xv-0-sekhmet-terminator-cabal-opt-3-plasma-blaster | Plasma Blaster | type=upgrade
r27-guard-r41-unit-xv-0-sekhmet-terminator-cabal-opt-3-plasma-blaster | Plasma Blaster | type=upgrade
r41-unit-xv-1-khenetai-occult-blade-cabal-opt-1-hand-flamer | Hand Flamer | type=upgrade
r41-unit-xv-4-contemptor-osiron-dreadnought-opt-5-multi-melta | Multi-Melta | type=upgrade
r41-unit-xv-4-contemptor-osiron-dreadnought-opt-6-twin-linked-autocannon | Twin-linked Autocannon | type=upgrade
r41-unit-xv-4-contemptor-osiron-dreadnought-opt-10-twin-linked-lascannon | Twin-linked Lascannon | type=upgrade
live-r2-r41-unit-xv-6-ahzek-ahriman-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xv-6-ahzek-ahriman-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xv-6-ahzek-ahriman-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xv-6-ahzek-ahriman-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
live-r2-r41-unit-xv-6-ahzek-ahriman-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
live-r2-r41-unit-xv-7-phosis-t-kar-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-r41-unit-xv-7-phosis-t-kar-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-r41-unit-xv-7-phosis-t-kar-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-r41-unit-xv-7-phosis-t-kar-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
